step,t_0.050,t_0.097,t_0.145,t_0.192,t_0.239,t_0.287,t_0.334,t_0.382,t_0.429,t_0.476,t_0.524,t_0.571,t_0.618,t_0.666,t_0.713,t_0.761,t_0.808,t_0.855,t_0.903,t_0.950
5000,158447.593750,140515.968750,124702.054688,111170.882812,99789.382812,90310.273438,82503.500000,76186.945312,71238.687500,67601.554688,65280.367188,64341.519531,64932.476562,67321.195312,71968.164062,79656.960938,91605.773438,108978.187500,128930.226562,126177.640625
10000,147969.671875,119239.507812,98204.945312,82764.789062,71335.039062,62541.214844,55620.265625,50186.660156,46014.683594,43043.726562,41312.136719,40824.195312,41504.332031,43219.906250,45870.199219,49504.003906,54494.828125,61995.488281,74044.625000,86495.304688
15000,138322.031250,100960.414062,76877.570312,61274.917969,50363.527344,42633.660156,36592.261719,32317.013672,29501.314453,27792.826172,27170.654297,26996.679688,27317.757812,28115.691406,29745.576172,32709.253906,38063.851562,47362.824219,61914.648438,77402.710938
20000,293610.031250,248117.359375,204453.859375,165231.296875,131606.578125,105192.976562,86448.093750,74983.703125,70097.570312,71430.617188,78021.703125,89366.539062,104871.156250,123969.859375,148413.562500,177974.703125,217158.859375,275639.875000,376445.406250,564482.562500
25000,562887.687500,536364.375000,509747.750000,483413.656250,457910.625000,433697.875000,410863.937500,389185.375000,368372.312500,348253.031250,328754.156250,309859.312500,291431.562500,273547.437500,256242.125000,239812.562500,224978.953125,213648.375000,210804.125000,233993.078125
30000,701279.437500,697695.812500,693642.625000,689119.625000,684260.562500,679203.062500,674085.562500,668959.625000,663731.750000,658328.125000,652759.312500,646962.125000,640897.812500,634409.000000,627391.187500,619632.125000,610542.562500,598643.125000,580574.187500,547780.750000
35000,721551.250000,721971.062500,721886.375000,721272.937500,720105.875000,718460.562500,716323.437500,713685.562500,710643.000000,707285.687500,703580.500000,699517.625000,695185.812500,690489.000000,685358.562500,679675.437500,673149.687500,664900.312500,653080.750000,631901.000000
40000,571640.312500,571022.062500,570020.750000,568639.312500,566897.000000,564834.812500,562481.562500,559913.375000,557261.750000,554585.500000,551916.125000,549206.500000,546513.625000,543901.187500,541316.875000,538573.937500,535402.625000,531386.125000,525075.125000,512294.000000
45000,461864.281250,460476.750000,458798.125000,456844.500000,454638.531250,452206.562500,449610.468750,446930.375000,444252.187500,441626.250000,439072.781250,436605.875000,434257.156250,432058.750000,429944.125000,427793.343750,425402.437500,422526.468750,418247.093750,410159.781250
50000,418451.125000,417344.250000,416008.000000,414459.937500,412715.093750,410808.718750,408801.593750,406747.968750,404699.062500,402679.312500,400691.500000,398726.812500,396809.250000,394949.937500,393079.312500,391141.468750,388986.437500,386401.843750,382712.125000,376246.718750
55000,399610.312500,398688.218750,397567.843750,396268.218750,394802.750000,393216.906250,391568.343750,389896.937500,388239.531250,386605.406250,384991.937500,383380.468750,381787.750000,380219.093750,378609.812500,376919.781250,375024.562500,372720.843750,369439.250000,363814.000000
60000,390477.406250,389682.625000,388707.562500,387571.781250,386289.593750,384911.687500,383492.500000,382064.531250,380655.718750,379267.656250,377894.062500,376511.406250,375133.468750,373761.656250,372338.937500,370827.812500,369121.093750,367021.343750,364012.687500,358874.312500
65000,385762.593750,385052.906250,384174.250000,383146.031250,381983.406250,380739.968750,379468.125000,378195.500000,376944.218750,375712.687500,374491.093750,373253.812500,372012.343750,370766.531250,369464.562500,368069.937500,366485.937500,364518.093750,361680.625000,356830.468750
70000,383103.406250,382447.343750,381629.093750,380668.437500,379581.031250,378422.187500,377242.812500,376067.562500,374915.312500,373782.406250,372656.718750,371511.656250,370357.062500,369192.031250,367968.218750,366649.593750,365145.437500,363263.718750,360535.656250,355862.593750
75000,381633.562500,381008.156250,380224.406250,379302.187500,378257.781250,377147.437500,376020.812500,374901.312500,373805.562500,372729.062500,371658.156250,370565.781250,369460.531250,368342.218750,367163.312500,365888.531250,364431.125000,362599.781250,359936.187500,355367.625000
80000,380926.937500,380321.343750,379559.406250,378661.406250,377643.906250,376563.437500,375469.375000,374383.937500,373323.250000,372281.062500,371243.500000,370183.250000,369108.093750,368017.687500,366865.843750,365617.718750,364187.875000,362386.343750,359759.781250,355249.375000
