step,loss,wall_time
1275,0.436043,941.3
1300,0.460707,958.7
1325,0.445127,976.0
1350,0.434025,993.5
1375,0.462653,1010.8
1400,0.444953,1028.2
1425,0.492422,1045.5
1450,0.425990,1062.9
1475,0.458698,1080.3
1500,0.433661,1097.7
1525,0.451542,1115.2
1550,0.462592,1132.6
1575,0.439311,1150.0
1600,0.470887,1167.5
1625,0.446292,1184.9
1650,0.446568,1202.3
1675,0.452965,1219.7
1700,0.462803,1237.1
1725,0.444341,1254.5
1750,0.431602,1272.0
1775,0.437862,1289.3
1800,0.424964,1306.7
1825,0.423383,1324.1
1850,0.435835,1341.5
1875,0.424790,1358.8
1900,0.454442,1376.2
1925,0.451125,1393.6
1950,0.443321,1410.9
1975,0.434018,1428.3
2000,0.413441,1445.8
2025,0.421374,1463.2
2050,0.427802,1480.5
2075,0.420075,1498.0
2100,0.426313,1515.3
2125,0.411100,1532.7
2150,0.430970,1550.1
2175,0.428530,1567.5
2200,0.436130,1584.9
2225,0.414594,1602.3
2250,0.405428,1619.7
2275,0.446123,1637.0
2300,0.429945,1654.4
2325,0.436192,1671.7
2350,0.439544,1689.1
2375,0.441636,1706.4
2400,0.409052,1723.8
2425,0.437516,1741.2
2450,0.440758,1758.5
2475,0.422782,1775.9
2500,0.425381,1793.3
2525,0.440311,1810.7
2550,0.416574,1828.1
2575,0.450352,1845.5
2600,0.411203,1862.9
2625,0.419559,1880.3
2650,0.439382,1897.7
2675,0.427685,1915.0
2700,0.418809,1932.5
2725,0.444283,1949.9
2750,0.448723,1967.2
2775,0.441410,1984.7
2800,0.442161,2002.0
2825,0.413083,2019.4
2850,0.420813,2036.7
2875,0.442307,2054.1
2900,0.414433,2071.5
2925,0.437783,2088.8
2950,0.445759,2106.2
2975,0.412397,2123.6
3000,0.405824,2140.9
3025,0.417489,2158.3
3050,0.427649,2175.6
3075,0.412492,2192.9
3100,0.410479,2210.3
3125,0.403838,2227.7
3150,0.417223,2245.0
3175,0.409629,2262.4
3200,0.410952,2279.7
3225,0.422917,2297.0
3250,0.430467,2314.4
3275,0.412940,2331.8
3300,0.408551,2349.1
3325,0.417405,2366.4
3350,0.420227,2383.9
3375,0.428463,2401.3
3400,0.428145,2418.6
3425,0.416275,2436.1
3450,0.405533,2453.5
3475,0.437708,2470.8
3500,0.423429,2488.3
3525,0.420491,2505.7
3550,0.398890,2523.0
3575,0.416324,2540.5
3600,0.392964,2557.9
3625,0.414061,2575.3
3650,0.412318,2592.7
3675,0.414174,2610.1
3700,0.419350,2627.5
3725,0.417831,2644.9
3750,0.407271,2662.3
3775,0.415278,2679.6
3800,0.415226,2697.0
3825,0.420638,2714.4
3850,0.391627,2731.8
3875,0.392242,2749.2
3900,0.402701,2766.6
3925,0.433984,2784.0
3950,0.419115,2801.4
3975,0.396852,2818.8
4000,0.409180,2836.2
4025,0.412616,2853.6
4050,0.406773,2871.0
4075,0.418242,2888.4
4100,0.411238,2905.8
4125,0.387300,2923.3
4150,0.431078,2940.6
4175,0.403978,2958.0
4200,0.428098,2975.4
4225,0.394615,2992.8
4250,0.389611,3010.1
4275,0.423836,3027.5
4300,0.412102,3045.0
4325,0.400145,3062.3
4350,0.422508,3079.7
4375,0.389283,3097.2
4400,0.432727,3114.6
4425,0.416134,3131.9
4450,0.407022,3149.4
4475,0.398687,3166.8
4500,0.424284,3184.2
4525,0.407560,3201.6
4550,0.412775,3219.0
4575,0.415392,3236.4
4600,0.424251,3253.8
4625,0.414114,3271.2
4650,0.391879,3288.6
4675,0.404280,3306.1
4700,0.430921,3323.5
4725,0.385131,3340.9
4750,0.428273,3358.2
4775,0.401338,3375.7
4800,0.392127,3393.0
4825,0.420017,3410.4
4850,0.419919,3427.8
4875,0.405729,3445.2
4900,0.419466,3462.6
4925,0.388440,3480.0
4950,0.415552,3497.3
4975,0.413808,3514.7
5000,0.435555,3532.1
5025,0.413508,3558.1
5050,0.407624,3575.4
5075,0.411789,3592.8
5100,0.391179,3610.2
5125,0.430475,3627.6
5150,0.406658,3645.0
5175,0.400482,3662.4
5200,0.412349,3679.8
5225,0.405020,3697.1
5250,0.392059,3714.6
5275,0.392556,3731.9
5300,0.428702,3749.2
5325,0.414695,3766.6
5350,0.421363,3784.0
5375,0.388075,3801.3
5400,0.394727,3818.7
5425,0.400289,3836.0
5450,0.402815,3853.4
5475,0.394570,3870.8
5500,0.394133,3888.1
5525,0.411168,3905.5
5550,0.391170,3922.9
5575,0.407004,3940.2
5600,0.411383,3957.7
5625,0.378015,3975.5
5650,0.401261,3993.2
5675,0.405952,4010.6
5700,0.432487,4027.9
5725,0.410788,4045.4
5750,0.412919,4062.8
5775,0.419081,4080.2
5800,0.393386,4097.6
5825,0.403551,4115.3
5850,0.405432,4132.7
5875,0.416334,4150.3
5900,0.391912,4167.7
5925,0.414875,4185.1
5950,0.430624,4202.5
5975,0.405344,4219.9
6000,0.393652,4237.3
6025,0.409984,4254.8
6050,0.409165,4272.1
6075,0.398357,4289.5
6100,0.375196,4306.9
6125,0.392687,4324.3
6150,0.407829,4341.7
6175,0.408333,4359.0
6200,0.384545,4376.5
6225,0.420813,4393.8
6250,0.395931,4411.2
6275,0.382038,4428.7
6300,0.411118,4446.0
6325,0.395866,4463.4
6350,0.407120,4480.8
6375,0.399511,4498.2
6400,0.408547,4515.6
6425,0.416230,4533.0
6450,0.395563,4550.4
6475,0.434503,4567.9
6500,0.409553,4585.3
6525,0.420670,4602.7
6550,0.402067,4620.1
6575,0.401704,4637.6
6600,0.392120,4655.0
6625,0.415306,4672.4
6650,0.412488,4689.8
6675,0.385266,4707.2
6700,0.390998,4724.6
6725,0.407231,4742.0
6750,0.368717,4759.5
6775,0.388757,4776.9
6800,0.415062,4794.3
6825,0.395729,4811.8
6850,0.395925,4829.2
6875,0.406738,4846.6
6900,0.390168,4864.1
6925,0.396221,4881.5
6950,0.435888,4898.9
6975,0.388730,4916.3
7000,0.420274,4933.7
7025,0.386166,4951.1
7050,0.410279,4968.6
7075,0.385671,4985.9
7100,0.395722,5003.3
7125,0.385577,5020.7
7150,0.390490,5038.2
7175,0.417978,5055.6
7200,0.421702,5073.0
7225,0.416524,5090.4
7250,0.408637,5107.7
7275,0.384448,5125.1
7300,0.431260,5142.5
7325,0.413450,5159.9
7350,0.408376,5177.3
7375,0.417799,5194.8
7400,0.412090,5212.2
7425,0.392159,5229.6
7450,0.403862,5247.0
7475,0.389880,5264.4
7500,0.418514,5281.8
7525,0.395797,5299.3
7550,0.396799,5316.7
7575,0.377734,5334.1
7600,0.406718,5351.4
7625,0.395758,5368.8
7650,0.408236,5386.2
7675,0.416932,5403.5
7700,0.400801,5420.9
7725,0.415456,5438.3
7750,0.412764,5455.6
7775,0.412989,5473.0
7800,0.374080,5490.4
7825,0.394860,5507.8
7850,0.413274,5525.3
