step,curvature,backtracking
5000,22.471228,0.000000
10000,29.185621,0.000000
15000,32.059601,0.000000
20000,167.051941,0.000000
25000,37.365112,0.000000
30000,11.250969,0.000000
35000,7.528248,0.000000
40000,5.135971,0.000000
45000,3.377160,0.000000
50000,2.480554,0.000000
55000,2.102458,0.000000
60000,1.922802,0.000000
65000,1.830030,0.000000
70000,1.777822,0.000000
75000,1.748349,0.000000
80000,1.732726,0.000000
