step,loss,wall_time
25,0.541917,46.0
50,0.421586,50.6
75,0.357875,55.3
100,0.343003,60.0
125,0.322581,64.7
150,0.303824,69.3
175,0.314976,74.1
200,0.307315,78.8
225,0.295774,83.4
250,0.274833,88.2
275,0.274119,92.9
300,0.267954,97.6
325,0.257489,102.3
350,0.258798,107.0
375,0.249305,111.7
400,0.262336,116.5
425,0.251577,121.2
450,0.267183,125.8
475,0.252616,130.4
500,0.250166,135.2
525,0.254013,139.8
550,0.228726,144.4
575,0.247326,149.2
600,0.237369,153.8
625,0.235988,158.5
650,0.245381,163.2
675,0.237339,167.9
700,0.221294,172.5
725,0.227815,177.3
750,0.231410,181.9
775,0.234584,186.5
800,0.224436,191.3
825,0.244129,195.9
850,0.228104,200.5
875,0.234142,205.2
900,0.228455,209.9
925,0.231419,214.5
950,0.217310,219.1
975,0.232396,223.9
1000,0.224412,228.5
1025,0.228146,233.1
1050,0.212203,237.9
1075,0.229698,242.5
1100,0.229377,247.2
1125,0.218691,251.9
1150,0.210321,256.5
1175,0.223149,261.2
1200,0.224575,265.9
1225,0.210325,270.5
1250,0.206398,275.2
1275,0.205702,279.9
1300,0.205664,284.6
1325,0.210014,289.2
1350,0.203256,294.0
1375,0.223217,298.6
1400,0.216478,303.2
1425,0.210465,307.9
1450,0.214596,312.6
1475,0.208138,317.3
1500,0.205525,321.9
1525,0.216568,326.7
1550,0.221689,331.3
1575,0.218948,336.0
1600,0.195243,340.7
1625,0.204411,345.4
1650,0.210739,350.0
1675,0.200435,354.8
1700,0.209462,359.5
1725,0.198703,364.1
1750,0.208479,368.9
1775,0.208644,374.0
1800,0.205321,378.6
1825,0.211784,383.4
1850,0.199365,388.0
1875,0.202010,392.7
1900,0.210379,397.4
1925,0.207609,402.1
1950,0.200341,406.8
1975,0.213931,411.5
2000,0.208426,416.2
2025,0.218750,420.9
2050,0.201442,425.5
2075,0.212124,430.2
2100,0.198239,434.9
2125,0.190608,439.5
2150,0.195710,444.3
2175,0.207285,448.9
2200,0.215638,453.5
2225,0.191960,458.3
2250,0.203669,462.9
2275,0.195816,467.6
2300,0.213689,472.3
2325,0.202570,477.0
2350,0.206044,481.6
2375,0.198314,486.2
2400,0.206288,491.0
2425,0.205772,495.6
2450,0.203690,500.3
2475,0.200908,505.0
2500,0.201351,509.7
2525,0.206070,514.3
2550,0.220445,519.1
2575,0.196404,523.7
2600,0.202110,528.4
2625,0.208867,533.1
2650,0.199148,537.8
2675,0.199770,542.4
2700,0.218558,547.2
2725,0.194950,551.8
2750,0.197866,556.5
2775,0.200888,561.2
2800,0.187813,565.9
2825,0.206843,570.5
2850,0.180031,575.2
2875,0.202210,579.9
2900,0.212391,584.6
2925,0.199912,589.2
2950,0.201023,593.9
2975,0.201311,598.6
3000,0.200774,603.3
3025,0.193545,608.0
3050,0.202909,612.7
3075,0.202184,617.3
3100,0.197531,622.1
3125,0.207135,626.8
3150,0.200433,631.4
3175,0.203121,636.2
3200,0.216660,640.9
3225,0.200034,645.5
3250,0.190985,650.3
3275,0.206159,655.0
3300,0.195235,659.6
3325,0.188925,664.3
3350,0.199630,669.0
3375,0.189883,673.7
3400,0.197638,678.3
3425,0.193833,683.1
3450,0.198436,687.7
3475,0.206821,692.4
3500,0.204896,697.1
3525,0.202414,701.7
3550,0.192332,706.4
3575,0.205307,711.1
3600,0.188148,715.8
3625,0.192190,720.4
3650,0.199430,725.2
3675,0.206007,729.8
3700,0.202721,734.4
3725,0.195486,739.2
3750,0.201522,743.8
3775,0.181885,748.5
3800,0.196528,753.1
3825,0.194302,757.8
3850,0.190541,762.5
3875,0.201588,767.1
3900,0.191936,771.9
3925,0.193722,776.5
3950,0.191521,781.2
3975,0.203097,785.9
4000,0.200316,790.6
4025,0.192693,795.2
4050,0.196574,800.2
4075,0.198228,804.8
4100,0.196417,809.4
4125,0.194386,814.2
4150,0.197549,818.8
4175,0.188828,823.5
4200,0.203582,828.2
4225,0.184759,832.9
4250,0.197629,837.6
4275,0.187799,842.2
4300,0.195693,846.9
4325,0.197198,851.6
4350,0.194307,856.2
4375,0.192802,861.0
4400,0.196058,865.6
4425,0.199128,870.3
4450,0.198172,875.1
