step,loss,wall_time
25,6085.023926,50.2
50,480.094086,67.7
75,4669.083008,85.2
100,469.015839,102.8
125,25397.062500,120.4
150,1468.648315,137.8
175,10332.545898,155.3
200,726.572327,172.8
225,5705.547852,190.3
250,37948.152344,207.9
275,654.151001,225.4
300,612.066345,242.9
325,966.798218,260.4
350,333.366486,277.9
375,13367.229492,295.3
400,592.920288,312.9
425,4816.018555,330.3
450,2461.502930,347.8
475,320.414490,365.3
500,4115.076172,383.0
525,2746.323975,400.5
550,2703.974121,418.0
575,2166.929688,435.5
600,3398.223145,452.9
625,826.996460,470.4
650,41.938568,488.0
675,9613.314453,505.4
700,18366.400391,523.0
725,539.075806,540.6
750,591.885498,558.1
775,18137.570312,575.5
800,239.880936,593.0
825,1173.579712,610.4
850,4040.874512,628.1
875,489.635925,646.2
900,40507.695312,663.7
925,150.514847,681.2
950,205.846939,698.6
975,45.922081,716.2
1000,247.566162,733.7
1025,1711.801392,751.2
1050,45371.445312,768.9
1075,110.728989,786.4
1100,1921.313721,804.0
1125,1031.721802,821.7
1150,114.430679,839.2
1175,14293.705078,856.8
1200,328.264130,874.4
1225,1976.777710,891.9
1250,264.414001,909.4
1275,658.636414,927.0
1300,86.424423,944.4
1325,19400.263672,961.9
1350,2155.589111,979.5
1375,1968.723755,996.9
1400,278.166962,1014.5
1425,311.692993,1032.0
1450,20832.478516,1049.6
1475,39111.214844,1067.2
1500,50.827415,1084.7
1525,912.388489,1102.3
1550,338.552643,1119.7
1575,903.731812,1137.2
1600,10636.333008,1154.7
1625,40614.964844,1172.2
1650,4426.170410,1189.7
1675,77.829185,1207.2
1700,72.782745,1224.6
1725,29826.894531,1242.0
1750,1697.400391,1259.5
1775,977.961609,1277.0
1800,1961.246094,1294.6
1825,137.133484,1312.2
1850,244.492813,1329.6
1875,969.954102,1347.1
1900,3446.602539,1364.5
1925,12659.868164,1382.1
1950,524.812439,1399.5
1975,641.667297,1417.1
2000,854.362549,1434.7
2025,1881.957397,1452.2
2050,22398.177734,1469.6
2075,1253.874634,1487.1
2100,1094.655762,1504.6
2125,3513.828369,1522.0
2150,1909.904541,1539.6
2175,3703.746338,1557.1
2200,155.631210,1574.6
2225,71485.062500,1592.1
2250,112.015976,1609.5
2275,932.673340,1627.0
2300,1751.157593,1644.6
2325,140.054276,1662.1
2350,706.798645,1679.6
2375,1365.553101,1697.0
2400,284.041321,1714.4
2425,127.931618,1731.8
2450,10132.482422,1749.3
2475,818.598938,1766.8
2500,805.298462,1784.2
2525,149.078094,1801.6
2550,11136.428711,1819.1
2575,119.743126,1836.4
2600,143.075943,1853.7
2625,177.725861,1871.2
2650,12309.155273,1888.7
2675,153.508133,1906.1
2700,1054.014404,1923.6
2725,100.213043,1941.0
2750,73.584442,1958.5
2775,269.757599,1976.1
2800,4913.069824,1993.6
2825,420.753357,2011.0
2850,5319.931152,2028.4
2875,364.531830,2045.9
2900,1251.483765,2063.3
2925,3601.767090,2080.7
2950,4365.106934,2098.2
2975,257.227661,2115.5
3000,114.620277,2133.0
3025,1146.211670,2150.5
3050,354.079071,2167.9
3075,673.544556,2185.3
3100,137.313751,2202.8
3125,375.800568,2220.2
3150,530.422058,2237.6
3175,5642.346680,2255.0
3200,553.041565,2272.4
3225,520.033020,2289.8
3250,6273.260254,2307.2
3275,2380.746826,2324.7
3300,134.978287,2342.0
3325,13279.618164,2359.4
3350,353.628815,2376.9
3375,264.145477,2394.4
3400,3161.333496,2411.7
3425,9609.803711,2429.2
3450,71023.609375,2446.5
3475,134.551147,2463.8
3500,263.212982,2481.2
3525,791.331482,2498.6
3550,5348.018555,2515.9
3575,204.026215,2533.3
3600,275.506531,2550.7
3625,2296.174072,2568.0
3650,1492.127930,2585.5
3675,215.075867,2602.9
3700,8048.174316,2620.4
3725,1589.480469,2637.8
3750,5447.626953,2655.2
3775,287.313141,2672.6
3800,5303.691406,2690.0
3825,448.007477,2707.4
3850,8218.373047,2724.7
3875,74.252975,2742.2
3900,137.418213,2759.6
3925,809.531006,2776.9
3950,94.207619,2794.3
3975,5861.108398,2811.7
4000,152.313095,2829.1
4025,148.826263,2846.4
4050,156.301620,2863.8
4075,1607.914673,2881.2
4100,709.623230,2898.5
4125,6407.605469,2915.9
4150,14983.778320,2933.3
4175,348.498657,2950.6
4200,388.002014,2968.0
4225,51.201988,2985.6
4250,823.124207,3003.1
4275,1554.193237,3020.8
4300,865.963379,3038.8
4325,3237.628418,3056.1
4350,3517.132812,3073.4
4375,22385.525391,3090.8
4400,262.820007,3108.2
4425,45.237797,3125.5
4450,39081.605469,3143.0
4475,1137.250854,3160.5
4500,321.651917,3177.8
4525,888.516663,3195.3
4550,46.430393,3212.7
4575,223.207657,3230.1
4600,1621.281128,3247.5
4625,286.444977,3264.9
4650,575.789307,3282.3
4675,128.830734,3299.7
4700,945.450500,3317.1
4725,1292.688843,3334.4
4750,226.726746,3351.7
4775,92.277687,3369.2
4800,2465.814453,3386.5
4825,821.439087,3403.8
4850,50.798378,3421.2
4875,631.208252,3438.5
4900,145.476349,3455.8
4925,4908.293457,3473.2
4950,3397.563477,3490.5
4975,258.622620,3507.8
5000,285.714569,3525.3
5025,232.624481,3551.3
5050,237.671249,3568.6
5075,199.615845,3586.0
5100,1376.142578,3603.3
5125,502.820312,3620.6
5150,358.773438,3638.0
5175,2627.138916,3655.3
5200,423.368011,3672.6
5225,1372.322998,3689.9
5250,741.275757,3707.4
5275,12647.795898,3724.7
5300,207.960464,3742.0
5325,1844.558105,3759.5
5350,3193.798828,3776.8
5375,574.581909,3794.1
5400,1647.816528,3811.5
5425,1585.220093,3828.9
5450,576.683960,3846.2
5475,382.517914,3863.6
5500,1287.981323,3881.0
5525,105.379097,3898.3
5550,1601.005249,3915.7
5575,659.328491,3933.0
5600,473.085999,3950.3
5625,1285.568359,3967.7
5650,168.826828,3985.1
5675,161.936615,4002.4
5700,2918.576660,4019.7
5725,51.843742,4037.2
5750,128.158890,4054.5
5775,8821.201172,4071.8
5800,7742.543945,4089.3
5825,357.231110,4106.6
5850,2728.084229,4123.9
5875,102.894035,4141.3
5900,1818.908081,4158.6
5925,412.327057,4176.0
5950,2689.046143,4193.4
5975,193.081985,4210.7
6000,3139.581787,4228.0
6025,762.311890,4245.4
6050,589.978455,4262.7
6075,471.128479,4280.0
6100,469.043335,4297.4
6125,622.063293,4314.8
6150,16032.554688,4332.1
6175,1251.739990,4349.4
6200,339.355042,4366.8
6225,1801.313965,4384.2
6250,360.100403,4401.5
6275,341.250336,4418.9
6300,555.307190,4436.2
6325,345.380402,4453.5
6350,609.542297,4470.9
6375,1218.089966,4488.2
6400,3015.431885,4505.5
6425,346.531616,4523.0
6450,75342.984375,4540.3
6475,496.064606,4557.6
6500,12637.266602,4575.0
6525,3600.956543,4592.2
6550,2289.314209,4609.6
6575,4081.283203,4627.0
6600,30796.990234,4644.3
6625,1045.152588,4661.7
6650,392.901215,4679.0
6675,96.278358,4696.5
6700,200.130249,4713.8
6725,266.169159,4731.2
6750,3732.698486,4748.6
6775,394.551575,4765.9
6800,14143.361328,4783.4
6825,443.009216,4800.8
6850,4025.003906,4818.2
