step,curvature,backtracking
5000,129.801682,0.000000
10000,137028.109375,0.024688
15000,278016.843750,0.049375
20000,220890.171875,0.168125
25000,121654.546875,0.151250
30000,90835.750000,0.112187
35000,92186.609375,0.133750
40000,125266.343750,0.190625
45000,105038.382812,0.167813
50000,63673.714844,0.155312
55000,46577.957031,0.091563
60000,22607.800781,0.044375
65000,30025.527344,0.071250
70000,63605.039062,0.059375
75000,92614.835938,0.081875
80000,76578.945312,0.082812
