step,curvature,backtracking
5000,138.586975,0.000000
10000,110311.351562,0.034375
15000,292681.250000,0.045937
20000,315450.000000,0.115312
25000,230559.125000,0.151562
30000,146826.984375,0.147187
35000,112034.812500,0.138125
40000,92541.382812,0.103125
45000,93965.406250,0.104063
50000,92897.000000,0.090625
55000,87056.046875,0.075625
60000,97103.148438,0.055000
65000,70570.062500,0.102500
70000,56351.882812,0.055938
75000,54255.488281,0.038437
80000,48120.500000,0.043125
