step,loss,wall_time
25,765.807739,32.8
50,1048.698975,38.2
75,44.951859,43.6
100,47.493450,49.1
125,206.296219,54.6
150,2578.883789,60.0
175,242.952484,65.5
200,325.610260,70.9
225,1006.365540,76.3
250,2837.409424,81.7
275,99.653275,87.1
300,36.259834,92.6
325,90.208229,98.1
350,1041.927490,103.5
375,96.532745,109.0
400,23991.998047,114.5
425,25.643126,119.9
450,138.622314,125.3
475,77.631996,130.7
500,26.771612,136.3
525,1889.313354,141.7
550,11.857516,147.1
575,41.032795,152.7
600,929.962585,158.1
625,41.670212,163.5
650,165.805099,169.1
675,7189.328613,174.5
700,146.132538,179.9
725,107.995964,185.4
750,207.686783,190.8
775,761.664795,196.2
800,1059.057861,201.7
825,35.346249,207.1
850,44.984501,212.5
875,207.110077,218.0
900,80.218102,223.4
925,136.397095,228.9
950,1440.141846,234.2
975,87.355179,239.8
1000,29.525324,245.3
1025,64.975220,250.7
1050,37.258350,256.2
1075,10.041602,261.7
1100,14.586104,267.1
1125,145.076706,272.6
1150,10.225332,278.0
1175,1842.968384,283.4
1200,24.557268,288.9
1225,29.216469,294.3
1250,367.996368,300.4
1275,226.236206,305.9
1300,5719.763184,311.4
1325,518.070679,316.8
1350,11.273591,322.3
1375,209.891769,327.8
1400,1495.232788,333.3
1425,124.483208,338.6
1450,38.285183,344.2
1475,17400.888672,349.6
1500,3147.096924,355.0
1525,253.090927,360.6
1550,7932.369141,366.0
1575,10028.646484,371.5
1600,42.476231,377.0
1625,89.942337,382.4
1650,37.886589,387.8
1675,36.782097,393.3
1700,362.624634,398.7
1725,1741.304443,404.1
1750,3261.478027,409.6
1775,1205.586914,415.1
1800,295.053925,420.5
1825,13292.180664,426.0
1850,1754.652710,431.4
1875,213.682205,436.9
1900,3927.178955,442.3
1925,153.501373,447.8
1950,26728.072266,453.2
1975,1651.050781,458.6
2000,22.634636,464.1
2025,157.080765,469.5
2050,43.584694,474.9
2075,248.738373,480.4
2100,242.040344,485.8
2125,10.449716,491.2
2150,2745.129395,496.7
2175,46.343124,502.2
2200,78.117035,507.6
2225,5123.872070,513.1
2250,27.647799,518.5
2275,88.746529,524.0
2300,36.501842,529.5
2325,50.701313,534.9
2350,1025.444946,540.3
2375,10368.360352,545.7
2400,75.598091,551.2
2425,179.315338,556.7
2450,14833.660156,562.1
2475,28462.765625,567.5
2500,63.322666,573.0
2525,596.840637,578.3
2550,27.075352,583.8
2575,4920.154297,589.3
2600,12781.299805,594.7
2625,30.938328,600.1
2650,23.731833,605.6
2675,314.018768,611.0
2700,37446.093750,616.5
2725,573.409912,621.9
2750,15.266401,627.3
2775,496.436157,632.8
2800,1092.038330,638.2
2825,28.126894,643.7
2850,117.027885,649.1
2875,579.248474,654.6
2900,187.889359,660.0
2925,57.435081,665.4
2950,41820.699219,670.9
2975,160.744034,676.4
3000,1599.385010,681.8
3025,288.483643,687.3
3050,208.712769,692.8
3075,11530.501953,698.2
3100,34.449066,703.7
3125,181.289001,709.2
3150,83.193161,714.6
3175,241.952362,720.1
3200,18350.867188,725.5
3225,2405.101074,730.9
3250,628.578369,736.4
3275,20350.191406,741.8
3300,49.014267,747.3
3325,23.935289,752.6
3350,19.295956,758.1
3375,180.430588,763.6
3400,32.792778,769.0
3425,175.946915,774.5
3450,15.546208,780.0
3475,16324.924805,785.4
3500,1797.645386,790.9
3525,346.540039,796.3
3550,418.236572,801.7
3575,565.782837,807.2
3600,1330.436890,812.6
3625,2176.731689,818.1
3650,65.686806,823.6
3675,488.603333,829.0
3700,407.803284,834.4
3725,99.715446,839.9
3750,1875.041626,845.3
3775,132.334900,850.7
3800,35.016399,856.1
3825,25.400984,861.6
3850,616.701416,867.0
3875,10.193754,872.4
3900,27.105663,877.9
3925,16.616009,883.3
3950,2511.020508,888.7
3975,239.975327,894.2
4000,3720.642822,899.6
4025,10026.405273,905.0
4050,2748.227783,910.4
4075,17.323248,915.9
4100,174.773560,921.3
4125,875.249634,926.8
4150,116.912773,932.2
4175,198.822174,937.6
4200,751.655640,943.1
4225,24.808128,948.5
4250,372.931427,953.9
4275,43.268841,959.3
4300,1100.494385,964.8
4325,271.015076,970.2
4350,6018.256348,975.6
4375,70.350258,981.1
4400,130.871765,986.6
4425,787.485962,991.9
4450,20.880405,997.4
4475,27.431334,1002.8
4500,73.467110,1008.2
4525,56.613445,1013.7
4550,14.197077,1019.0
4575,60.399109,1024.4
4600,20.278074,1029.8
4625,179.760925,1035.2
4650,63.870651,1040.6
4675,8791.780273,1046.0
4700,1203.372437,1051.4
4725,342.268127,1056.8
4750,467.050262,1062.1
4775,26.788458,1067.6
4800,34.560524,1073.0
4825,183.170288,1078.3
4850,21.046261,1084.0
4875,42.962471,1089.3
4900,32.470924,1094.7
4925,114.070267,1100.1
4950,78.088951,1105.5
4975,43.913651,1110.9
5000,133.670929,1116.4
5025,1929.156128,1130.6
5050,16.705517,1136.0
5075,28.536547,1141.5
5100,43.272053,1146.8
5125,40713.320312,1152.3
5150,100.664200,1157.7
5175,20.701963,1163.1
5200,163.429291,1168.5
5225,571.131714,1173.9
5250,336.537811,1179.5
5275,28.643482,1184.9
5300,22.677618,1190.3
5325,187.746887,1195.8
5350,352.165833,1201.2
5375,304.496002,1206.5
5400,33.304222,1212.0
5425,114.664696,1217.4
5450,467.796051,1222.8
5475,140.110062,1228.2
5500,416.085938,1233.6
5525,18.900429,1239.1
5550,48.876881,1244.6
5575,17.798473,1249.9
5600,3614.223389,1255.3
5625,345.601746,1260.8
5650,13312.031250,1266.2
5675,9.080539,1271.6
5700,36.300133,1276.9
5725,133.757828,1282.4
5750,30.484674,1287.8
5775,68.509468,1293.2
5800,40.836800,1298.7
5825,168.026932,1304.1
5850,28.832375,1309.5
5875,734.251526,1314.9
5900,16.726385,1320.3
5925,94.003090,1325.8
5950,18.338358,1331.6
5975,12217.359375,1336.9
6000,140.014801,1342.5
6025,64.983864,1348.1
6050,23.450127,1353.7
6075,45.677002,1359.1
6100,1319.597534,1364.6
6125,18921.228516,1370.0
6150,110.196648,1375.3
6175,880.864807,1380.7
6200,291.801514,1386.2
6225,238.922089,1391.6
6250,450.952576,1397.0
6275,67.890923,1402.4
6300,548.841553,1407.9
6325,91.114143,1413.2
6350,20.929205,1418.7
6375,12.378757,1424.1
6400,230.267410,1429.5
6425,24.517046,1435.0
6450,1538.262451,1440.4
6475,1220.305908,1445.8
6500,539.962830,1451.2
6525,12278.327148,1456.6
6550,48.124172,1462.0
6575,149.002350,1467.5
6600,648.373962,1472.9
6625,35.050331,1478.3
6650,597.967407,1483.6
6675,75.401917,1489.1
6700,184.403000,1494.5
