step,t_0.050,t_0.097,t_0.145,t_0.192,t_0.239,t_0.287,t_0.334,t_0.382,t_0.429,t_0.476,t_0.524,t_0.571,t_0.618,t_0.666,t_0.713,t_0.761,t_0.808,t_0.855,t_0.903,t_0.950
5000,3652585.750000,4349884.500000,5215457.000000,6342835.000000,7894427.500000,10158920.000000,13660245.000000,19364536.000000,29073068.000000,46171380.000000,77075304.000000,134074056.000000,241115152.000000,446471552.000000,854574272.000000,1724402560.000000,3867982080.000000,11099719680.000000,61551964160.000000,338645221376.000000
10000,1001996.562500,1245826.875000,1661392.750000,2378713.750000,3618653.500000,5756313.500000,9433434.000000,15761710.000000,26695312.000000,45728052.000000,79248408.000000,139313984.000000,249694016.000000,460089696.000000,883466368.000000,1811955584.000000,4180467200.000000,12205578240.000000,58436349952.000000,820286980096.000000
15000,442578.531250,541714.875000,697970.187500,945083.625000,1339796.750000,1979860.625000,3038225.000000,4829607.000000,7943481.000000,13515382.000000,23789354.000000,43296548.000000,81334360.000000,157213168.000000,311766496.000000,636220800.000000,1370410880.000000,3429625088.000000,13693432832.000000,233424486400.000000
20000,257306.140625,297858.375000,354523.531250,435784.593750,555785.125000,738697.625000,1027122.375000,1498688.375000,2300042.500000,3718755.500000,6339719.000000,11394240.000000,21551484.000000,42723128.000000,88169208.000000,188035296.000000,415185504.000000,996446400.000000,3314888448.000000,46519697408.000000
25000,206718.515625,236080.984375,275009.281250,327903.218750,401758.281250,508039.093750,666123.375000,909920.625000,1301093.125000,1956461.750000,3107409.250000,5233376.000000,9371852.000000,17852918.000000,36066580.000000,76798608.000000,171735376.000000,413568736.000000,1284164352.000000,14403302400.000000
30000,187680.546875,210083.203125,238994.156250,277058.406250,328335.281250,399272.343750,500434.500000,649826.500000,879454.437500,1249032.000000,1875876.875000,3003129.250000,5161532.000000,9565619.000000,19107104.000000,40903832.000000,93240544.000000,229852512.000000,711595008.000000,7109490688.000000
35000,168901.687500,185613.765625,206794.328125,234182.421875,270429.218750,319656.750000,388501.750000,488195.593750,638522.187500,876271.750000,1273530.000000,1979852.500000,3323148.000000,6060295.000000,12019554.000000,25801502.000000,59575140.000000,150096432.000000,474516512.000000,4509619200.000000
40000,164614.140625,178569.687500,195934.093750,218018.156250,246775.250000,285292.000000,338546.031250,414985.312500,529591.500000,710310.187500,1012155.687500,1549322.125000,2572047.500000,4655335.500000,9178847.000000,19604816.000000,45202328.000000,114866808.000000,371548768.000000,3523222016.000000
45000,161280.781250,173840.046875,189309.453125,208743.156250,233757.703125,266898.531250,312325.531250,377114.531250,473891.437500,626320.562500,881126.812500,1335769.250000,2204254.250000,3978486.500000,7835473.000000,16713808.000000,38465456.000000,97907760.000000,322425600.000000,3155925504.000000
50000,161207.156250,172323.906250,185976.265625,203053.640625,224937.984375,253814.593750,293284.093750,349512.687500,433525.500000,566003.625000,787790.250000,1183914.875000,1940508.125000,3482865.250000,6819364.000000,14440332.000000,32940584.000000,83227072.000000,275664704.000000,2757710336.000000
55000,161130.062500,170768.015625,182607.000000,197440.609375,216477.437500,241677.046875,276263.187500,325806.781250,400302.687500,518684.218750,718690.187500,1079703.125000,1777315.000000,3216896.750000,6369561.500000,13655600.000000,31535004.000000,80488472.000000,267159648.000000,2607192064.000000
60000,161253.453125,169508.812500,179787.609375,192818.562500,209707.984375,232254.828125,263383.250000,308131.562500,375505.875000,482472.500000,662751.250000,987245.312500,1613056.500000,2904154.000000,5736448.500000,12301716.000000,28497182.000000,73407952.000000,249106512.000000,2503836416.000000
65000,159411.468750,166935.828125,176102.843750,187551.406250,202295.375000,221929.843750,249077.515625,288238.156250,347562.218750,442435.406250,603916.062500,898266.687500,1475025.875000,2688105.500000,5409272.000000,11872087.000000,28172816.000000,73867616.000000,251318896.000000,2474467840.000000
70000,159718.593750,168584.000000,179108.390625,191902.390625,207946.296875,228827.437500,257149.953125,297419.531250,357684.937500,453107.718750,614071.500000,905301.187500,1472729.875000,2662757.500000,5333369.500000,11700359.000000,27871018.000000,73661512.000000,254442592.000000,2570654208.000000
75000,156249.250000,166616.406250,178768.984375,193347.750000,211380.578125,234517.390625,265468.812500,308900.156250,373048.968750,473285.906250,639999.750000,937254.625000,1508581.750000,2693037.250000,5328059.500000,11569068.000000,27316326.000000,71524504.000000,245942320.000000,2573169152.000000
80000,163821.156250,177114.359375,192452.234375,210439.453125,232113.046875,259260.937500,294881.437500,344154.718750,416161.875000,527483.812500,710341.812500,1031252.312500,1636180.875000,2862379.250000,5523209.500000,11657895.000000,26722034.000000,68133416.000000,231540144.000000,2542360320.000000
