step,loss,wall_time
25,0.502688,19.3
50,0.388687,24.6
75,0.323550,29.9
100,0.320755,35.3
125,0.292992,40.6
150,0.266896,45.9
175,0.288534,51.4
200,0.266949,56.7
225,0.261377,62.0
250,0.250060,67.4
275,0.242671,72.8
300,0.240150,78.1
325,0.220779,83.5
350,0.224505,88.9
375,0.220655,94.2
400,0.238390,99.6
425,0.224244,105.0
450,0.232941,110.3
475,0.223386,115.6
500,0.223072,121.1
525,0.230117,126.4
550,0.209563,131.7
575,0.213653,137.1
600,0.206331,142.5
625,0.209654,147.8
650,0.218853,153.2
675,0.204070,158.6
700,0.191212,163.9
725,0.204127,169.3
750,0.201148,174.6
775,0.207218,179.9
800,0.200135,185.4
825,0.212850,190.7
850,0.198248,196.1
875,0.206407,201.5
900,0.200549,206.8
925,0.205490,212.1
950,0.190107,217.4
975,0.207507,222.9
1000,0.191638,228.2
1025,0.199647,233.6
1050,0.180383,239.0
1075,0.200888,244.4
1100,0.195575,249.7
1125,0.188688,255.1
1150,0.186700,260.5
1175,0.194632,265.8
1200,0.200437,271.2
1225,0.183333,276.5
1250,0.178423,281.9
1275,0.182672,287.3
1300,0.172334,292.6
1325,0.183496,298.0
1350,0.175398,303.4
1375,0.195762,308.7
1400,0.194967,314.0
1425,0.178034,319.4
1450,0.181877,324.8
1475,0.183801,330.2
1500,0.177154,335.5
1525,0.182071,340.9
1550,0.188117,346.2
1575,0.187825,351.5
1600,0.169412,356.9
1625,0.179012,362.3
1650,0.185899,367.6
1675,0.170192,373.0
1700,0.176392,378.4
1725,0.169717,383.7
1750,0.184353,389.1
1775,0.180278,394.5
1800,0.176974,399.8
1825,0.176090,405.3
1850,0.169313,410.6
1875,0.168742,416.0
1900,0.183080,421.3
1925,0.174559,426.7
1950,0.171700,432.0
1975,0.187858,437.4
2000,0.177570,442.8
2025,0.189235,448.2
2050,0.172231,453.5
2075,0.179445,458.9
2100,0.168609,464.3
2125,0.169006,469.6
2150,0.169155,475.0
2175,0.181961,480.3
2200,0.186323,485.6
2225,0.166397,491.0
2250,0.176958,496.4
2275,0.172084,501.7
2300,0.181001,507.1
2325,0.176071,512.4
2350,0.176211,517.7
2375,0.165981,523.1
2400,0.177568,528.5
2425,0.176444,533.9
2450,0.174343,539.2
2475,0.172376,544.6
2500,0.175656,550.0
2525,0.181973,555.3
2550,0.186908,560.7
2575,0.169725,566.0
2600,0.179329,571.3
2625,0.178712,576.7
2650,0.175704,582.1
2675,0.175245,587.4
2700,0.193551,592.8
2725,0.170079,598.2
2750,0.175329,603.5
2775,0.174347,608.9
2800,0.161102,614.3
2825,0.168945,619.6
2850,0.157319,624.9
2875,0.177297,630.3
2900,0.186755,635.7
2925,0.177534,641.0
2950,0.173275,646.4
2975,0.168654,651.8
3000,0.176697,657.1
3025,0.171608,662.5
3050,0.176990,667.9
3075,0.172108,673.2
3100,0.173554,678.6
3125,0.184687,684.0
3150,0.168929,689.3
3175,0.177313,694.7
3200,0.185072,700.0
3225,0.174367,705.4
3250,0.163162,710.8
3275,0.179493,716.2
3300,0.166268,721.5
3325,0.159179,726.8
3350,0.170998,732.3
3375,0.155050,737.6
3400,0.173836,743.0
3425,0.162231,748.4
3450,0.173444,753.7
3475,0.177813,759.0
3500,0.176139,764.4
3525,0.172288,769.8
3550,0.165033,775.1
3575,0.179608,780.5
3600,0.158170,785.9
3625,0.161350,791.2
3650,0.172661,796.6
3675,0.169401,801.9
3700,0.173964,807.3
3725,0.167537,812.7
3750,0.174150,818.0
3775,0.153891,823.4
3800,0.169905,828.7
3825,0.165888,834.1
3850,0.165290,839.5
3875,0.170484,844.8
3900,0.159898,850.2
3925,0.167275,855.6
3950,0.163230,860.9
3975,0.173205,866.3
4000,0.171840,871.7
4025,0.164728,877.0
4050,0.176946,882.4
4075,0.166930,887.8
4100,0.170205,893.1
4125,0.163074,898.5
4150,0.168540,903.8
4175,0.164660,909.2
4200,0.178944,914.6
4225,0.158116,919.9
4250,0.167625,925.2
4275,0.167595,930.5
4300,0.161744,935.9
4325,0.165497,941.2
4350,0.161604,946.5
4375,0.165064,952.0
4400,0.168768,957.3
4425,0.174743,962.6
4450,0.173950,968.0
4475,0.174670,973.4
4500,0.169676,978.7
4525,0.174348,984.1
4550,0.166627,989.4
