step,curvature,backtracking
5000,22.916124,0.000000
10000,28.836185,0.000000
15000,32.418400,0.000000
20000,31.213217,0.000000
25000,31.437096,0.000000
30000,33.492073,0.000000
35000,36.979988,0.000000
40000,40.659096,0.000000
45000,44.001812,0.000000
50000,46.809280,0.000000
55000,48.991768,0.000000
60000,50.314751,0.000000
65000,51.363007,0.000000
70000,51.998127,0.000000
75000,52.422722,0.000000
80000,52.811035,0.000000
