step,curvature,backtracking
5000,131.984177,0.000000
10000,142664.453125,0.021875
15000,224211.968750,0.060625
20000,109971.015625,0.139687
25000,31001.126953,0.068750
30000,21840.552734,0.041875
35000,23828.617188,0.035937
40000,26271.734375,0.050000
45000,29264.566406,0.043437
50000,34122.011719,0.053125
55000,44390.824219,0.076563
60000,40314.589844,0.044687
65000,31401.253906,0.036250
70000,24699.101562,0.026250
75000,22893.408203,0.035312
80000,24554.107422,0.032500
