step,t_0.050,t_0.097,t_0.145,t_0.192,t_0.239,t_0.287,t_0.334,t_0.382,t_0.429,t_0.476,t_0.524,t_0.571,t_0.618,t_0.666,t_0.713,t_0.761,t_0.808,t_0.855,t_0.903,t_0.950
5000,1933169.250000,2415404.750000,3047340.250000,3910434.750000,5144224.000000,6996277.500000,9921651.000000,14784447.000000,23271428.000000,38744896.000000,68011336.000000,125070104.000000,239453936.000000,476302528.000000,990010752.000000,2189654016.000000,5393105920.000000,17259419648.000000,112241442816.000000,357684576256.000000
10000,1538080.500000,1758726.625000,2089175.500000,2601666.000000,3422110.000000,4774766.500000,7067184.500000,11053939.000000,18157312.000000,31107182.000000,55255724.000000,101417680.000000,192541568.000000,381474016.000000,806470784.000000,1898970752.000000,5338533376.000000,19715876864.000000,107607334912.000000,1091909648384.000000
15000,676343.687500,739788.312500,836087.437500,984593.937500,1218453.375000,1595886.750000,2222027.250000,3292526.500000,5183058.000000,8638837.000000,15186800.000000,28050974.000000,54207432.000000,109001672.000000,226538688.000000,484502912.000000,1083317888.000000,2805147392.000000,12535382016.000000,264665563136.000000
20000,346354.312500,356768.687500,376958.437500,411443.906250,467521.406250,557559.750000,703483.062500,945834.875000,1362992.875000,2112609.500000,3523962.750000,6309159.000000,12057714.000000,24412150.000000,51874352.000000,114527664.000000,261578720.000000,643285120.000000,2239301632.000000,38330499072.000000
25000,374080.187500,388498.625000,411075.187500,444855.656250,494635.500000,568169.125000,678354.875000,847272.062500,1114599.875000,1555271.000000,2317930.750000,3710457.250000,6392633.000000,11811326.000000,23168552.000000,47549572.000000,101121680.000000,230070752.000000,713688256.000000,10786558976.000000
30000,300832.468750,308289.687500,320370.875000,338687.875000,365628.156250,404929.343750,462908.468750,550691.812500,688998.375000,918441.062500,1323215.875000,2086835.250000,3627650.000000,6929996.500000,14339107.000000,31394614.000000,71135768.000000,168735376.000000,501914048.000000,5721454592.000000
35000,273603.218750,282802.406250,294924.656250,310862.468750,331921.218750,360323.531250,399957.250000,457926.843750,547699.000000,695975.937500,958268.625000,1455961.750000,2468072.500000,4664587.000000,9700153.000000,21685474.000000,50846832.000000,125573720.000000,382357472.000000,3897945344.000000
40000,242613.281250,252077.671875,263197.031250,276395.875000,292377.281250,312514.937500,339436.125000,378236.218750,438920.875000,541608.250000,728329.125000,1091091.000000,1842439.250000,3499655.500000,7372653.000000,16840016.000000,40683580.000000,103959560.000000,323493408.000000,3072760576.000000
45000,219343.125000,232178.671875,246458.156250,262163.593750,279476.562500,299103.062500,322877.718750,354826.750000,403369.687500,485898.125000,638834.312500,941265.312500,1573522.250000,2968841.750000,6216899.500000,14141204.000000,34211684.000000,88220344.000000,277545216.000000,2552716032.000000
50000,203869.640625,220414.000000,238074.468750,256448.875000,275303.250000,294955.906250,316847.593750,344585.875000,385920.687500,456741.312500,589759.312500,854944.125000,1410107.125000,2633169.250000,5481820.500000,12495053.000000,30683012.000000,81656112.000000,268359360.000000,2468020224.000000
55000,192793.515625,209650.796875,227337.218750,245244.640625,263000.281250,280789.593750,299884.031250,323595.468750,359037.093750,420605.812500,537577.000000,771924.625000,1262746.125000,2344433.500000,4876802.500000,11197201.000000,27977172.000000,76539424.000000,260512720.000000,2443823616.000000
60000,186497.828125,202722.406250,219748.062500,237036.515625,254245.390625,271497.250000,289877.250000,312271.906250,344958.718750,400713.375000,505687.875000,715664.250000,1157063.625000,2137957.250000,4465151.000000,10383728.000000,26476732.000000,74321024.000000,259251968.000000,2402458624.000000
65000,185225.718750,203205.109375,221775.875000,240252.406250,258093.234375,275257.031250,292636.281250,312898.437500,341908.968750,391605.062500,486273.687500,677241.562500,1080587.125000,1980892.500000,4136936.500000,9723065.000000,25363868.000000,73683720.000000,268115760.000000,2554007552.000000
70000,188955.000000,208362.093750,228700.562500,249278.921875,269454.750000,289014.468750,308606.187500,330602.187500,360450.156250,409464.250000,500700.062500,682595.125000,1063136.750000,1902710.500000,3886585.000000,8979128.000000,23287212.000000,68456656.000000,257130032.000000,2532201472.000000
75000,184876.234375,203222.546875,222752.406250,243039.218750,263662.187500,284603.656250,306620.093750,332104.750000,366428.625000,420796.375000,518084.281250,706458.750000,1093070.875000,1935077.750000,3905099.000000,8930011.000000,23082726.000000,68593368.000000,265876240.000000,2744422400.000000
80000,176123.218750,191712.578125,208151.203125,225212.578125,242898.921875,261479.812500,282206.625000,307974.593750,344631.593750,403715.562500,507929.718750,704282.750000,1096942.250000,1937022.625000,3888417.500000,8880231.000000,23098362.000000,69710656.000000,277360512.000000,2961058048.000000
