step,loss,wall_time
25,726.048828,36.0
50,991.968262,40.7
75,41.734024,45.4
100,51.120266,50.3
125,129.160172,55.0
150,6193.755859,59.8
175,170.055771,64.6
200,178.904633,69.3
225,1709.066162,74.1
250,3344.605469,78.9
275,88.408600,83.7
300,49.384972,88.4
325,55.709923,93.3
350,892.697937,98.0
375,155.651215,102.7
400,22995.208984,107.6
425,27.333206,112.3
450,120.440392,117.0
475,65.570793,121.8
500,23.489674,126.6
525,1996.219849,131.4
550,10.806584,136.1
575,54.983856,140.9
600,1181.737549,145.6
625,43.734291,150.4
650,172.248856,155.2
675,7978.906738,160.0
700,217.719742,164.7
725,102.603378,169.5
750,439.429810,174.3
775,1300.892334,179.0
800,45.319714,183.9
825,54.436882,188.6
850,58.504406,193.4
875,189.603500,198.2
900,84.023346,202.9
925,370.215057,207.7
950,2686.670410,212.4
975,71.571564,217.3
1000,19.412758,222.0
1025,92.569160,226.7
1050,25.787374,231.5
1075,8.777459,236.3
1100,15.026449,241.0
1125,217.633057,245.8
1150,12.172445,250.6
1175,1089.239624,255.3
1200,21.386648,260.3
1225,26.974838,265.0
1250,406.820038,270.3
1275,106.725761,275.1
1300,16237.860352,279.8
1325,499.307373,284.5
1350,11.895730,289.4
1375,187.628815,294.1
1400,1551.780029,298.9
1425,82.368034,303.6
1450,44.051296,308.4
1475,16151.237305,313.1
1500,2045.746948,317.9
1525,488.602966,322.7
1550,4429.360840,327.4
1575,6739.761719,332.1
1600,41.485790,337.0
1625,179.326035,341.7
1650,38.179028,346.5
1675,49.675694,351.3
1700,331.572144,356.0
1725,2562.570801,360.8
1750,6802.577148,365.6
1775,2064.503418,370.3
1800,287.927246,375.0
1825,34222.496094,379.8
1850,2294.180176,384.5
1875,147.098068,389.3
1900,1618.257935,394.0
1925,143.550598,398.8
1950,52178.003906,403.5
1975,2467.067871,408.2
2000,30.718719,413.1
2025,348.006012,417.8
2050,31.440784,422.6
2075,131.809494,427.4
2100,200.307114,432.1
2125,9.520783,436.9
2150,2359.420410,441.7
2175,45.329838,446.4
2200,70.239845,451.1
2225,2465.575928,455.9
2250,24.658163,460.7
2275,87.817635,465.4
2300,49.159248,470.2
2325,62.967037,475.0
2350,710.054199,479.8
2375,8052.765137,484.5
2400,109.023735,489.3
2425,209.818527,494.1
2450,6905.361816,498.8
2475,29518.703125,503.6
2500,109.414536,508.4
2525,332.938690,513.1
2550,22.947487,517.9
2575,3789.091064,522.7
2600,19293.839844,527.4
2625,39.539833,532.2
2650,21.197977,536.9
2675,212.814301,541.6
2700,64107.921875,546.5
2725,521.453064,551.2
2750,22.157108,555.9
2775,434.447296,560.7
2800,2072.572021,565.4
2825,36.442844,570.1
2850,112.519638,574.9
2875,528.183289,579.7
2900,184.559647,584.4
2925,58.077175,589.1
2950,34443.457031,593.9
2975,110.821556,598.7
3000,1728.856079,603.4
3025,166.378693,608.2
3050,656.817871,613.0
3075,13756.972656,617.7
3100,39.098995,622.6
3125,179.470230,627.3
3150,57.993813,632.0
3175,373.980713,636.8
3200,49727.332031,641.6
3225,1521.110229,646.3
3250,516.054810,651.1
3275,17795.013672,655.8
3300,88.489288,660.6
3325,41.479618,665.3
3350,19.857634,670.1
3375,221.298401,674.8
3400,38.982876,679.6
3425,166.545044,684.4
3450,14.642506,689.1
3475,13658.189453,693.8
3500,1961.015747,698.7
3525,983.504761,703.4
3550,245.864395,708.1
3575,1088.354004,712.9
3600,1801.972900,717.7
3625,2017.932129,722.4
3650,44.311264,727.2
3675,656.102722,732.0
3700,425.025085,736.7
3725,175.854141,741.5
3750,1681.571655,746.3
3775,137.854462,751.0
3800,26.373903,755.7
3825,41.920315,760.5
3850,237.477219,765.3
3875,8.929403,770.0
3900,28.613058,774.8
3925,17.130930,779.6
3950,1167.455688,784.3
3975,239.268295,789.1
4000,3552.296631,793.8
4025,9755.600586,798.5
4050,676.624451,803.4
4075,16.824501,808.1
4100,238.852432,812.8
4125,899.921997,817.6
4150,283.058746,822.3
4175,161.908966,827.0
4200,897.067505,831.8
4225,19.739250,836.6
4250,338.748901,841.3
4275,47.068298,846.0
4300,2227.444580,850.8
4325,254.821518,855.5
4350,5847.934570,860.3
4375,62.611393,865.1
4400,116.462418,869.8
4425,1615.033813,874.5
4450,22.052393,879.3
4475,26.664560,884.0
4500,104.113708,888.8
4525,35.323597,893.6
4550,12.017018,898.3
4575,50.501270,903.1
4600,22.344790,907.9
4625,407.161041,912.6
4650,91.814499,917.3
4675,12592.602539,922.1
4700,1077.159546,926.9
4725,609.519653,931.6
4750,778.388245,936.3
4775,41.315681,941.1
4800,38.885502,945.8
4825,158.043396,950.5
4850,30.518496,955.3
4875,45.318756,960.1
4900,36.040176,964.8
4925,113.776375,969.6
4950,101.542435,974.3
4975,47.457001,979.1
5000,221.330734,983.9
5025,2748.582764,997.2
5050,24.875595,1001.9
5075,31.413610,1006.7
5100,34.598724,1011.4
5125,44934.039062,1016.1
5150,125.281593,1020.9
5175,16.776161,1025.7
5200,268.786224,1030.4
5225,694.165222,1035.1
5250,706.522949,1039.9
5275,23.876564,1044.6
5300,33.642803,1049.4
5325,93.458633,1054.1
5350,477.476135,1058.9
5375,280.759064,1063.6
5400,47.171284,1068.4
5425,104.190712,1073.1
5450,381.073059,1077.8
5475,187.190674,1082.6
5500,410.663177,1087.3
5525,22.634575,1092.1
5550,51.266674,1096.8
5575,12.451468,1101.5
5600,6041.931641,1106.3
5625,194.107224,1111.1
5650,5307.496094,1115.8
5675,12.736032,1120.5
5700,32.686745,1125.2
5725,201.793396,1130.0
5750,17.664072,1134.7
5775,51.185631,1139.4
5800,51.004189,1144.2
5825,158.702255,1148.9
5850,35.482349,1153.7
5875,745.411255,1158.5
5900,19.592016,1163.2
5925,138.733292,1168.1
5950,18.776083,1173.1
5975,8190.904297,1178.0
6000,116.647110,1182.7
6025,227.469986,1187.7
6050,28.622906,1192.6
6075,44.011269,1197.3
6100,2251.150635,1202.1
6125,16406.566406,1206.8
6150,80.347572,1211.6
6175,730.595886,1216.3
6200,243.421707,1221.1
6225,231.600372,1225.8
6250,633.658936,1230.5
6275,78.485077,1235.3
6300,420.938293,1240.0
6325,57.128754,1244.8
6350,13.746068,1249.6
6375,13.727300,1254.3
6400,453.880554,1259.0
6425,26.580019,1263.8
6450,1417.948853,1268.5
6475,2660.942139,1273.2
6500,577.570435,1278.0
6525,20374.039062,1282.7
6550,81.129219,1287.5
6575,88.709854,1292.3
6600,581.813110,1297.0
6625,51.349674,1301.7
6650,337.431549,1306.4
6675,91.867599,1311.2
6700,220.378006,1315.9
6725,667.637024,1320.7
6750,59.329121,1325.5
6775,17551.312500,1330.2
6800,81.741920,1334.9
6825,270.170563,1339.7
6850,21.470322,1344.4
6875,18.893112,1349.1
6900,303.598358,1353.9
6925,26.424969,1358.6
6950,98.584152,1363.4
6975,93.872032,1368.1
7000,26.249273,1372.9
7025,203.320633,1377.6
7050,21.959705,1382.4
7075,16.509981,1387.1
7100,76.409691,1391.8
7125,40.394249,1396.5
7150,93.448494,1401.3
7175,144.584778,1406.0
7200,323.775269,1410.7
7225,1255.255371,1415.5
7250,8854.544922,1420.2
7275,17.254093,1424.9
7300,172.498734,1429.7
7325,113.365852,1434.4
7350,60.816795,1439.1
7375,1357.073975,1443.9
7400,6340.176758,1448.7
7425,266.585876,1453.4
7450,10.584077,1458.2
7475,617.369995,1462.9
7500,12.673672,1467.6
