step,loss,wall_time
25,1.046646,30.5
50,0.801273,48.6
75,0.708554,66.9
100,0.667061,85.0
125,0.617747,102.9
150,0.631475,120.9
175,0.553139,138.9
200,0.554482,156.9
225,0.523197,174.9
250,0.503137,193.0
275,0.534696,211.0
300,0.512907,229.0
325,0.519546,247.1
350,0.497076,265.1
375,0.478353,283.1
400,0.484336,301.1
425,0.459804,319.1
450,0.458910,337.0
475,0.454173,355.0
500,0.449090,373.1
525,0.449428,391.1
550,0.443179,409.0
575,0.444166,427.1
600,0.415840,445.1
625,0.432665,463.0
650,0.437409,481.1
675,0.439856,499.1
700,0.427383,517.0
725,0.417164,535.0
750,0.419322,553.0
775,0.416713,570.9
800,0.415825,589.0
825,0.418541,606.9
850,0.422492,624.9
875,0.423602,642.9
900,0.415961,660.9
925,0.408232,678.9
950,0.397063,696.9
975,0.406433,714.9
1000,0.438517,732.9
1025,0.420943,750.8
1050,0.399524,768.9
1075,0.408431,786.9
1100,0.414537,804.9
1125,0.404608,823.0
1150,0.417584,840.9
1175,0.408294,858.9
1200,0.407787,876.9
1225,0.389230,894.9
1250,0.400799,912.9
1275,0.380792,931.0
1300,0.398299,948.9
1325,0.383775,966.9
1350,0.375824,984.9
1375,0.399527,1002.9
1400,0.374909,1021.0
1425,0.432187,1038.9
1450,0.374717,1057.0
1475,0.394701,1075.0
1500,0.376003,1093.0
1525,0.387103,1111.0
1550,0.398405,1129.0
1575,0.377615,1147.0
1600,0.413426,1165.0
1625,0.389876,1183.0
1650,0.383971,1201.0
1675,0.392285,1219.0
1700,0.407845,1237.0
1725,0.379426,1255.0
1750,0.378035,1273.0
1775,0.377221,1291.0
1800,0.364463,1309.0
1825,0.359372,1327.1
1850,0.373426,1345.0
1875,0.364101,1363.0
1900,0.394807,1381.0
1925,0.383889,1399.0
1950,0.381544,1417.0
1975,0.378753,1435.0
2000,0.358036,1453.1
2025,0.360789,1471.0
2050,0.364126,1489.0
2075,0.361696,1507.1
2100,0.367317,1525.1
2125,0.353369,1543.1
2150,0.374921,1561.1
2175,0.371014,1579.1
2200,0.372756,1597.1
2225,0.354324,1615.1
2250,0.357068,1633.1
2275,0.383888,1651.1
2300,0.369274,1669.1
2325,0.374313,1687.1
2350,0.372589,1705.1
2375,0.381394,1723.0
2400,0.344718,1741.1
2425,0.376377,1759.1
2450,0.379452,1777.1
2475,0.359588,1795.2
2500,0.366550,1813.2
2525,0.379795,1831.2
2550,0.359156,1849.3
