step,t_0.050,t_0.097,t_0.145,t_0.192,t_0.239,t_0.287,t_0.334,t_0.382,t_0.429,t_0.476,t_0.524,t_0.571,t_0.618,t_0.666,t_0.713,t_0.761,t_0.808,t_0.855,t_0.903,t_0.950
5000,2370759.000000,2847138.250000,3476956.000000,4355166.000000,5641031.000000,7607333.000000,10731487.000000,15865517.000000,24555298.000000,39650724.000000,66510364.000000,115466512.000000,207144768.000000,385090016.000000,750439104.000000,1577762048.000000,3815186944.000000,12278150144.000000,77043163136.000000,466326814720.000000
10000,2111564.000000,2373657.250000,2775815.250000,3404403.750000,4400339.500000,5998194.500000,8592265.000000,12855454.000000,19958870.000000,31988246.000000,52762008.000000,89517096.000000,156580480.000000,284047904.000000,540866240.000000,1107754624.000000,2577574144.000000,7797412864.000000,42898907136.000000,806357499904.000000
15000,1388389.875000,1483758.250000,1627778.000000,1836600.750000,2135150.000000,2563230.250000,3188215.000000,4128663.750000,5597860.500000,7992141.500000,12072618.000000,19353722.000000,32942506.000000,59369992.000000,112704568.000000,224906944.000000,481297440.000000,1206556928.000000,4945498112.000000,114350858240.000000
20000,730337.562500,763021.125000,806705.937500,863303.937500,936929.125000,1034442.187500,1167777.250000,1358823.500000,1648938.625000,2117276.000000,2918885.750000,4381622.500000,7227067.500000,13088710.000000,25769262.000000,54330516.000000,121401800.000000,298610272.000000,1027531648.000000,15480893440.000000
25000,476274.656250,516911.906250,566082.125000,624650.375000,694458.500000,779933.750000,888598.562500,1032633.375000,1233919.750000,1533773.375000,2014266.875000,2845373.250000,4400316.500000,7546756.000000,14367555.000000,29897264.000000,66862492.000000,163113936.000000,520459168.000000,5930911744.000000
30000,468631.687500,505042.593750,548265.375000,599420.812500,660195.937500,733362.812500,824840.500000,944442.062500,1109810.000000,1353498.250000,1739398.625000,2393931.000000,3597203.000000,5976216.500000,11012142.000000,22297144.000000,48767028.000000,115901920.000000,350756544.000000,3572076800.000000
35000,422213.687500,449204.687500,482587.687500,522598.000000,570073.312500,626996.937500,696535.187500,785858.312500,907237.687500,1085598.375000,1372381.625000,1863148.375000,2764882.750000,4558980.500000,8398469.000000,17126036.000000,38057040.000000,92749472.000000,286864704.000000,2742034688.000000
40000,323069.843750,347419.843750,374357.937500,405132.343750,440315.187500,481361.187500,534123.562500,602422.500000,696941.312500,838155.062500,1064056.750000,1456659.000000,2191173.500000,3670201.750000,6871564.500000,14259210.000000,32330704.000000,80891544.000000,257984592.000000,2466689280.000000
45000,248402.343750,272848.187500,299477.937500,328558.218750,361096.500000,398031.406250,441672.406250,497806.750000,575313.375000,694053.875000,887762.875000,1226398.250000,1862459.250000,3151721.000000,5970153.500000,12552651.000000,28958404.000000,74145088.000000,242562112.000000,2306169600.000000
50000,210673.890625,231737.515625,254096.046875,277392.718750,302473.031250,331151.843750,366405.093750,412684.187500,478485.843750,580522.062500,750836.562500,1055528.375000,1635785.250000,2826005.250000,5456651.500000,11700520.000000,27626480.000000,72795632.000000,243333568.000000,2240594688.000000
55000,201193.875000,220960.968750,240486.859375,260523.890625,282022.000000,306363.250000,336792.093750,378286.500000,438088.093750,531945.625000,689005.437500,970809.375000,1511844.625000,2633148.250000,5113869.500000,11020585.000000,26170444.000000,69375320.000000,233074400.000000,2113434496.000000
60000,199555.640625,218892.984375,237252.093750,255858.921875,274816.000000,296327.218750,324256.187500,362434.250000,419262.656250,506904.875000,652428.687500,907676.875000,1388865.625000,2380167.500000,4582360.000000,9835242.000000,23423462.000000,63093128.000000,218243488.000000,1974324352.000000
65000,212600.140625,229223.796875,243673.203125,256164.531250,266671.437500,279518.312500,297547.812500,325677.312500,371210.250000,446166.375000,573033.000000,795869.187500,1218837.250000,2091998.125000,4045219.750000,8776196.000000,21285320.000000,58701880.000000,208161472.000000,1959056000.000000
70000,182229.703125,194179.281250,202307.906250,207891.921875,212560.375000,219005.875000,229855.218750,250004.375000,285968.593750,348043.593750,455459.500000,648272.812500,1017453.437500,1782448.750000,3514207.000000,7789148.000000,19321566.000000,54403584.000000,194269184.000000,1787889920.000000
75000,189915.968750,203521.187500,212921.109375,219343.437500,224475.375000,231148.734375,240766.812500,257706.765625,288649.437500,342982.437500,439373.781250,615858.812500,957077.687500,1670638.125000,3300185.000000,7429502.500000,18935652.000000,54992384.000000,201707504.000000,1820629120.000000
80000,167503.750000,178921.953125,186038.218750,189591.875000,192279.750000,197104.218750,206103.437500,222351.078125,251948.468750,302705.062500,391360.812500,553717.312500,874542.812500,1559854.375000,3154028.250000,7243879.500000,18888698.000000,56187896.000000,209313424.000000,1896971008.000000
