step,curvature,backtracking
5000,140.577377,0.000000
10000,128571.609375,0.027813
15000,184249.000000,0.057500
20000,49589.425781,0.053437
25000,11669.183594,0.017500
30000,1346.239746,0.001563
35000,620.229126,0.001875
40000,422.272156,0.000000
45000,289.129822,0.000000
50000,411.492249,0.000625
55000,303.724792,0.000313
60000,281.678955,0.001875
65000,223.858536,0.000000
70000,373.614624,0.000000
75000,938.129578,0.000625
80000,2410.189941,0.002812
